time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-01-21 00:00:00+00:00,0,0,13,7
2025-01-22 00:00:00+00:00,2,2,36,19
2025-01-23 00:00:00+00:00,1,1,40,14
2025-01-24 00:00:00+00:00,0,0,74,17
2025-01-25 00:00:00+00:00,2,2,29,9
2025-01-26 00:00:00+00:00,1,1,5,2
2025-01-27 00:00:00+00:00,1,1,74,17
2025-01-28 00:00:00+00:00,0,0,45,23
2025-01-29 00:00:00+00:00,0,0,32,13
2025-01-30 00:00:00+00:00,3,2,41,13
2025-01-31 00:00:00+00:00,4,4,71,11
2025-02-01 00:00:00+00:00,4,2,6,4
2025-02-02 00:00:00+00:00,2,2,5,4
2025-02-03 00:00:00+00:00,2,2,25,11
2025-02-04 00:00:00+00:00,1,1,84,23
2025-02-05 00:00:00+00:00,2,2,36,15
2025-02-06 00:00:00+00:00,3,3,39,15
2025-02-07 00:00:00+00:00,0,0,19,11
2025-02-08 00:00:00+00:00,2,2,23,12
2025-02-09 00:00:00+00:00,2,2,10,7
2025-02-10 00:00:00+00:00,3,3,43,16
2025-02-11 00:00:00+00:00,1,1,31,12
2025-02-12 00:00:00+00:00,2,2,93,19
2025-02-13 00:00:00+00:00,3,2,27,12
2025-02-14 00:00:00+00:00,3,3,31,14
2025-02-15 00:00:00+00:00,2,2,18,10
2025-02-16 00:00:00+00:00,0,0,44,8
2025-02-17 00:00:00+00:00,3,3,78,13
2025-02-18 00:00:00+00:00,0,0,31,12
2025-02-19 00:00:00+00:00,6,5,27,12
2025-02-20 00:00:00+00:00,2,1,34,11
2025-02-21 00:00:00+00:00,0,0,62,18
2025-02-22 00:00:00+00:00,2,2,57,13
2025-02-23 00:00:00+00:00,0,0,6,6
2025-02-24 00:00:00+00:00,5,4,39,11
2025-02-25 00:00:00+00:00,1,1,22,9
2025-02-26 00:00:00+00:00,2,2,37,15
2025-02-27 00:00:00+00:00,5,4,45,11
2025-02-28 00:00:00+00:00,2,2,54,9
2025-03-01 00:00:00+00:00,4,4,37,9
2025-03-02 00:00:00+00:00,1,1,34,10
2025-03-03 00:00:00+00:00,5,3,70,23
2025-03-04 00:00:00+00:00,24,12,79,21
2025-03-05 00:00:00+00:00,2,2,38,13
2025-03-06 00:00:00+00:00,3,3,29,13
2025-03-07 00:00:00+00:00,4,2,24,11
2025-03-08 00:00:00+00:00,4,3,21,12
2025-03-09 00:00:00+00:00,1,1,24,8
2025-03-10 00:00:00+00:00,1,1,31,12
2025-03-11 00:00:00+00:00,3,3,44,16
2025-03-12 00:00:00+00:00,1,1,48,24
